yhat,lo80,hi80
2002.3035929999432,1620.1561230602676,2384.4510629396186
2029.79366853935,1624.5009264414632,2435.086410637237
2049.877790430478,1632.7561844894374,2466.9993963715183
2064.5511568808342,1641.250948872225,2487.851364889443
2075.271450461683,1648.709924829089,2501.832976094277
2083.1036473095164,1654.8114949035705,2511.3957997154625
2088.825814058084,1659.612762085483,2518.0388660306844
2093.0064025870183,1663.302610292123,2522.7101948819136
2096.060721207257,1666.095215923361,2526.0262264911526
2098.2921922476066,1668.1870577147452,2528.397326780468
2099.92249465644,1669.742848827931,2530.102140484949
2101.113586046912,1670.894173636886,2531.332998456938
