lo80,yhat,hi80
1620.1561230602676,2002.3035929999432,2384.4510629396186
1624.5009264414632,2029.79366853935,2435.086410637237
1632.7561844894374,2049.877790430478,2466.9993963715183
1641.250948872225,2064.5511568808342,2487.851364889443
1648.709924829089,2075.271450461683,2501.832976094277
1654.8114949035705,2083.1036473095164,2511.3957997154625
1659.612762085483,2088.825814058084,2518.0388660306844
1663.302610292123,2093.0064025870183,2522.7101948819136
1666.095215923361,2096.060721207257,2526.0262264911526
1668.1870577147452,2098.2921922476066,2528.397326780468
1669.742848827931,2099.92249465644,2530.102140484949
1670.894173636886,2101.113586046912,2531.332998456938
