lag,acf
0,1.0
1,0.024734019787992417
2,0.04830094726982072
3,0.09926629508031708
4,0.07234435418109501
5,0.14105384820489983
6,0.09714971697268648
7,0.14842552495344086
8,0.04307311508231637
9,0.047556334760092495
10,0.042300140710971934
11,0.06234288946448604
12,-0.03860819444179973
13,0.08481923052158155
14,0.06698090803604306
15,-0.1878077251794542
16,0.0257547804979034
17,-0.09819484719772228
18,-0.06688909308286442
19,0.026590305323747586
20,-0.13701850594325451
21,-0.04367886346795956
22,-0.09415811253499327
23,-0.11206528581353792
24,-0.09304006524692347
25,-0.18841894808846063
