lag,pacf
0,1.0
1,0.024734019787992403
2,0.04771836828389824
3,0.09722910083079939
4,0.06668890535899995
5,0.1318639815364094
6,0.08187792973297692
7,0.1303283625441735
8,0.011389639528641124
9,0.009620027800200902
10,-0.010836994688657705
11,0.018256672561705364
12,-0.09530395370109102
13,0.047934054465760274
14,0.03307888807791145
15,-0.21197356946601284
16,-0.0037128214462243576
17,-0.11364114738188795
18,-0.0754328107652548
19,0.04182283559650563
20,-0.11198113733025153
21,-0.01245126157508741
22,-0.017723270439671635
23,-0.0723126672603307
24,-0.04911408705633239
25,-0.13667299054488422
